title,speaker,month,year,session,url,tags,excerpt
Giving Holiness to the Lord,Bishop L. Todd Budge,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/52budge?lang=eng,,
"Remember Thy Suffering Saints, O Our God",Anthony D. Perkins,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/53perkins?lang=eng,,
One Percent Better,Michael A. Dunn,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/54dunn?lang=eng,,
Facing Our Spiritual Hurricanes by Believing in Christ,Sean Douglas,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/55douglas?lang=eng,,
Miracles of the Gospel of Jesus Christ,Carlos G. Revillo Jr.,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/56revillo?lang=eng,,
Look down the Road,Alvin F. Meredith III,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/57meredith?lang=eng,,
The Name of the Church Is Not Negotiable,Neil L. Andersen,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/58andersen?lang=eng,,
Make Time for the Lord,Russell M. Nelson President,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/59nelson?lang=eng,,
Opening Message,Russell M. Nelson President,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/11nelson?lang=eng,,
Shall We Not Go On in So Great a Cause?,M. Russell Ballard Acting,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/12ballard?lang=eng,,
Ensuring a Righteous Judgment,James R. Rasband,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/13rasband?lang=eng,,
An Especially Noble Calling,Joy D. Jones,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/14jones?lang=eng,,
Spiritually Defining Memories,Neil L. Andersen,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/15andersen?lang=eng,,
Deep in Our Heart,Douglas D. Holmes Recently Released,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/16holmes?lang=eng,,
Prayers of Faith,Henry B. Eyring,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/17eyring?lang=eng,,
"Sustaining of General Authorities, Area Seventies, and General Officers",Dallin H. Oaks,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/21oaks?lang=eng,,
"Church Auditing Department Report, 2019",Kevin R. Jergensen,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/22jergensen?lang=eng,,
The Coming Forth of the Book of Mormon,Ulisses Soares,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/23soares?lang=eng,,
Come unto ChristLiving as Latter-day Saints,John A. McCune,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/24mccune?lang=eng,,
A Living Witness of the Living Christ,Bishop Grald Causs Presiding Bishop,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/25causse?lang=eng,,
Consider the Goodness and Greatness of God,Dale G. Renlund,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/26renlund?lang=eng,,
The Power of the Book of Mormon in Conversion,Benjamin M. Z. Tai,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/27tai?lang=eng,,
A Good Foundation against the Time to Come,Gary E. Stevenson,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/28stevenson?lang=eng,,
Hosanna and HallelujahThe Living Jesus Christ: The Heart of Restoration and Easter,Gerrit W. Gong,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/31gong?lang=eng,,
How the Priesthood Blesses Youth,Laudy Ruth Kaouk Member,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/32alvarez?lang=eng,,
How the Priesthood Blesses Youth,Enzo Serge Petelo Member,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/33petelo?lang=eng,,
United in Accomplishing Gods Work,Jean B. Bingham,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/34bingham?lang=eng,,
He Goes before Us,Henry B. Eyring,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/35eyring?lang=eng,,
The Melchizedek Priesthood and the Keys,Dallin H. Oaks,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/36oaks?lang=eng,,
Opening the Heavens for Help,Russell M. Nelson President,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/37nelson?lang=eng,,
Fulfillment of Prophecy,Ronald A. Rasband,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/41rasband?lang=eng,,
That They May See,Bonnie H. Cordon Young Women,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/42cordon?lang=eng,,
A Perfect Brightness of Hope,Jeffrey R. Holland,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/43holland?lang=eng,,
Let This House Be Built unto My Name,David A. Bednar,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/44bednar?lang=eng,,
Hear Him,Russell M. Nelson President,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/45nelson?lang=eng,,
Hosanna Shout,Russell M. Nelson President,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/46nelson?lang=eng,,
